file_name,main_class,resolution,class_label,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
150.tif,Flatfield,Canon120-1,Flatfield_Canon120-1,1240,1752,0.708,6366.8,254.999,0.117,-484.987,358850.91,0.001,0.0
300.tif,Flatfield,Canon120-1,Flatfield_Canon120-1,2480,3508,0.707,25495.07,254.999,0.163,-395.407,278985.731,0.002,0.0
150.tif,Flatfield,Canon120-2,Flatfield_Canon120-2,2480,3508,0.707,25495.07,254.674,7.972,-25.891,684.618,0.027,0.001
300.tif,Flatfield,Canon120-2,Flatfield_Canon120-2,2480,3508,0.707,25495.07,254.672,7.991,-25.876,683.833,0.027,0.001
150.tif,Flatfield,Canon220,Flatfield_Canon220,1240,1752,0.708,6366.8,254.607,9.119,-23.834,573.541,0.023,0.001
300.tif,Flatfield,Canon220,Flatfield_Canon220,2480,3508,0.707,25495.07,254.643,8.699,-25.061,633.209,0.023,0.0
150.tif,Flatfield,Canon9000-1,Flatfield_Canon9000-1,1240,1754,0.707,6374.08,254.212,12.642,-16.396,269.128,0.043,0.001
300.tif,Flatfield,Canon9000-1,Flatfield_Canon9000-1,2480,3508,0.707,25495.07,254.277,12.16,-17.064,291.167,0.04,0.0
150.tif,Flatfield,Canon9000-2,Flatfield_Canon9000-2,1240,1754,0.707,6374.08,254.998,0.507,-380.209,151579.438,0.001,0.0
300.tif,Flatfield,Canon9000-2,Flatfield_Canon9000-2,2480,3508,0.707,25495.07,254.998,0.447,-421.479,188415.229,0.001,0.0
150.tif,Flatfield,EpsonV370-1,Flatfield_EpsonV370-1,1236,1754,0.705,6353.53,254.731,3.631,-28.63,959.494,0.248,0.001
300.tif,Flatfield,EpsonV370-1,Flatfield_EpsonV370-1,2480,3508,0.707,25495.07,254.74,3.351,-30.775,1129.003,0.258,0.0
150.tif,Flatfield,EpsonV370-2,Flatfield_EpsonV370-2,1236,1754,0.705,6353.53,254.737,3.519,-27.37,903.517,0.201,0.001
300.tif,Flatfield,EpsonV370-2,Flatfield_EpsonV370-2,2480,3508,0.707,25495.07,254.771,2.83,-30.809,1222.495,0.2,0.0
150.tif,Flatfield,EpsonV39-1,Flatfield_EpsonV39-1,1240,1754,0.707,6374.08,254.998,0.13,-164.557,38033.396,0.007,0.0
300.tif,Flatfield,EpsonV39-1,Flatfield_EpsonV39-1,2480,3508,0.707,25495.07,254.996,0.188,-126.401,21812.109,0.02,0.0
150.tif,Flatfield,EpsonV39-2,Flatfield_EpsonV39-2,1240,1754,0.707,6374.08,254.945,0.45,-58.476,9286.731,0.185,0.0
300.tif,Flatfield,EpsonV39-2,Flatfield_EpsonV39-2,2480,3508,0.707,25495.07,254.909,0.562,-59.426,10327.247,0.287,0.0
150.tif,Flatfield,EpsonV550,Flatfield_EpsonV550,1239,1754,0.706,6368.94,254.884,1.229,-13.352,276.281,0.11,0.0
300.tif,Flatfield,EpsonV550,Flatfield_EpsonV550,2478,3508,0.706,25474.52,254.881,1.253,-14.329,384.862,0.113,0.0
150.tif,Flatfield,HP,Flatfield_HP,1240,1743,0.711,6334.1,253.78,0.557,-1.331,22.814,0.801,0.0
300.tif,Flatfield,HP,Flatfield_HP,2480,3503,0.708,25458.73,252.446,0.763,-0.968,27.353,1.11,0.0
s1_100.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,251.238,23.496,-6.863,48.042,0.413,0.019
s1_39.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,251.656,20.326,-7.133,53.983,0.469,0.03
s1_4.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,247.081,32.107,-4.393,18.769,0.833,0.055
s1_40.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,251.166,20.928,-7.066,54.206,0.719,0.043
s1_44.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,248.908,29.222,-5.175,26.389,0.62,0.038
s1_46.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,249.61,26.836,-5.491,30.254,0.616,0.036
s1_49.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,252.274,19.932,-8.142,67.968,0.364,0.015
s1_85.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,249.976,27.639,-6.097,37.559,0.524,0.019
s1_86.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.048,26.513,-5.639,31.141,0.482,0.023
s1_90.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.181,24.563,-5.903,36.096,0.628,0.044
s1_91.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,249.766,28.397,-5.791,33.112,0.514,0.025
s1_92.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.768,25.161,-6.467,41.989,0.462,0.022
s1_93.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.339,26.2,-6.126,37.503,0.545,0.026
s1_94.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.808,25.556,-6.582,43.26,0.478,0.02
s1_95.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,251.637,21.976,-7.203,52.745,0.411,0.021
s1_96.tif,official,Official-20250910T085215Z-1-001,official_Official-20250910T085215Z-1-001,1240,1752,0.708,6366.8,250.317,26.737,-6.192,38.395,0.451,0.015
