,filename,device_class,width,height,filesize_kb,brightness,contrast,sharpness
0,InsNoise(23).jpg,Insertion+Noise,1440,2006,321.59,240.35,23.23,242.64
1,InsNoise(35).jpg,Insertion+Noise,1520,2095,444.08,225.25,26.85,615.59
2,InsNoise(19).jpg,Insertion+Noise,1408,1952,312.45,221.9,20.3,280.19
3,InsNoise(1).jpg,Insertion+Noise,1504,2070,426.62,223.65,28.71,467.01
4,InsNoise(39).jpg,Insertion+Noise,1424,1980,357.46,238.51,27.33,497.54
5,InsNoise(42).jpg,Insertion+Noise,1472,2045,311.65,223.72,19,208.44
6,InsNoise(15).jpg,Insertion+Noise,1504,2095,291.62,228.74,16.13,181.33
7,InsNoise(14).jpg,Insertion+Noise,1472,2044,352.94,227.23,21.81,374.89
8,InsNoise(43).jpg,Insertion+Noise,1456,2018,388.22,219.41,23.37,329.28
9,InsNoise(38).jpg,Insertion+Noise,1456,2018,470.55,230.17,31.98,630.34
10,InsNoise(18).jpg,Insertion+Noise,1472,2030,464.99,231.12,34.02,522.4
11,InsNoise(34).jpg,Insertion+Noise,1472,2044,401.16,223.91,24.82,396.12
12,InsNoise(22).jpg,Insertion+Noise,1472,2032,459.32,220.11,25.87,409.98
13,InsNoise(29).jpg,Insertion+Noise,1536,2136,393.97,233.44,24.85,301.25
14,InsNoise(7).jpg,Insertion+Noise,1488,2058,390.91,231.38,25.6,393.6
15,InsNoise(44).jpg,Insertion+Noise,1456,2018,309.91,223.16,18.76,192.88
16,InsNoise(13).jpg,Insertion+Noise,1504,2070,439.28,228.86,26.85,548.28
17,InsNoise(25).jpg,Insertion+Noise,1472,2044,450.33,226.48,27.75,520.85
18,InsNoise(33).jpg,Insertion+Noise,1504,2082,424.96,232.7,26.45,448.44
19,InsNoise(48).jpg,Insertion+Noise,1504,2095,424.08,225.49,31.31,459.77
20,InsNoise(49).jpg,Insertion+Noise,1520,2098,445.63,208.25,24.07,481.76
21,InsNoise(32).jpg,Insertion+Noise,1408,1966,348.9,235.62,30.33,373.02
22,InsNoise(24).jpg,Insertion+Noise,1472,2058,429.27,226.67,26.37,461.99
23,InsNoise(12).jpg,Insertion+Noise,1488,2070,353.68,226.66,20.76,298.48
24,InsNoise(45).jpg,Insertion+Noise,1472,2044,404.95,215.88,31.87,502.41
25,InsNoise(6).jpg,Insertion+Noise,1472,2044,415.02,231.29,30.01,479.7
26,InsNoise(28).jpg,Insertion+Noise,1536,2122,452.81,228.17,29.02,367.6
27,InsNoise(50).jpg,Insertion+Noise,1488,2070,338.9,211.63,19.95,313
28,InsNoise(11).jpg,Insertion+Noise,1472,2044,331.22,235.38,19.88,284.75
29,InsNoise(46).jpg,Insertion+Noise,1472,2058,359.48,225.52,20.87,280.73
30,InsNoise(5).jpg,Insertion+Noise,1472,2044,368.39,230.35,26.65,350.32
31,InsNoise(31).jpg,Insertion+Noise,1456,2018,317.27,229.22,19.63,258.36
32,InsNoise(27).jpg,Insertion+Noise,1504,2084,435.39,223.88,31.4,450.95
33,InsNoise(9).jpg,Insertion+Noise,1488,2072,355.19,235.47,25.52,445.17
34,InsNoise(8).jpg,Insertion+Noise,1504,2084,379.47,234.09,24.66,370.58
35,InsNoise(26).jpg,Insertion+Noise,1488,2056,413.25,228.65,27.13,363.26
36,InsNoise(30).jpg,Insertion+Noise,1472,2044,354.02,210.47,22.43,357.17
37,InsNoise(4).jpg,Insertion+Noise,1472,2044,358.98,217.65,21.13,408.48
38,InsNoise(47).jpg,Insertion+Noise,1488,2056,336.76,234.52,23.93,338.26
39,InsNoise(10).jpg,Insertion+Noise,1504,2084,378.96,232.22,25.41,474.61
40,InsNoise(37).jpg,Insertion+Noise,1312,1810,315.48,244.47,26.26,607.24
41,InsNoise(21).jpg,Insertion+Noise,1488,2070,450.13,217.22,35,539.98
42,InsNoise(17).jpg,Insertion+Noise,1472,2045,425.9,234.09,32.74,476.1
43,InsNoise(40).jpg,Insertion+Noise,1456,2018,367.53,209.97,20.52,266.88
44,InsNoise(3).jpg,Insertion+Noise,1504,2070,388.48,220.29,22.08,428.52
45,InsNoise(2).jpg,Insertion+Noise,1488,2058,335.21,217.96,20.02,319.19
46,InsNoise(41).jpg,Insertion+Noise,1488,2056,344.85,245.61,26.99,420.54
47,InsNoise(16).jpg,Insertion+Noise,1504,2095,297.67,228.73,16.47,190.69
48,InsNoise(20).jpg,Insertion+Noise,1456,2006,375.48,223.06,23.43,360.95
49,InsNoise(36).jpg,Insertion+Noise,1472,2058,362.94,230.65,21.84,347.12
50,CPNoise(16).jpg,CopyPaste+Noise,1504,2095,301.8,228.77,16.57,236.28
51,CPNoise(41).jpg,CopyPaste+Noise,1488,2056,347.5,245.62,26.99,422.88
52,CPNoise(20).jpg,CopyPaste+Noise,1456,2006,377.7,223.08,23.41,382.72
53,CPNoise(36).jpg,CopyPaste+Noise,1472,2058,366.28,230.7,21.81,353.99
54,CPNoise(3).jpg,CopyPaste+Noise,1504,2070,395.59,220.23,22.09,463.34
55,CPNoise(2).jpg,CopyPaste+Noise,1488,2058,338.65,217.96,20.04,337.16
56,CPNoise(37).jpg,CopyPaste+Noise,1312,1810,320.08,244.47,26.3,627.06
57,CPNoise(21).jpg,CopyPaste+Noise,1488,2070,453.12,217.21,34.99,553.05
58,CPNoise(40).jpg,CopyPaste+Noise,1456,2018,372.29,209.94,20.55,282.5
59,CPNoise(17).jpg,CopyPaste+Noise,1472,2045,426.51,234.17,32.76,484.41
60,CPNoise(26).jpg,CopyPaste+Noise,1488,2056,418,228.69,27.14,371.48
61,CPNoise(30).jpg,CopyPaste+Noise,1472,2044,358.52,210.46,22.51,383.24
62,CPNoise(5).jpg,CopyPaste+Noise,1472,2044,373.91,230.33,26.7,367.05
63,CPNoise(10).jpg,CopyPaste+Noise,1504,2084,393.13,232.21,25.43,487.01
64,CPNoise(9).jpg,CopyPaste+Noise,1488,2072,369.94,235.42,25.53,460.57
65,CPNoise(47).jpg,CopyPaste+Noise,1488,2056,341.81,234.5,23.92,349.52
66,CPNoise(50).jpg,CopyPaste+Noise,1488,2070,343.99,211.63,20.02,351.79
67,CPNoise(46).jpg,CopyPaste+Noise,1472,2058,360.04,225.56,20.9,289.86
